Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IGSF CAM SIGNALING	19/294	2.662713390322823E-13	2.8402276163443447E-12	0	0	11.090789865871834	321.1256193098287	SRC;TUBB;TUBB4B;TUBB4A;TUBA4A;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;PIK3CA;TUBB3;AKT1;FGFR1
PROTEOGLYCANS IN CANCER	16/197	6.972172769122598E-13	7.098939546743009E-12	0	0	13.915933701657458	389.53035335281794	SRC;MMP2;IGF2;ESR1;EGFR;VEGFA;PIK3CA;ERBB3;FASN;CASP3;ERBB2;PDCD4;AKT1;TP53;HRAS;FGFR1
MELANOMA	11/72	3.014842971439E-12	2.9361948939232007E-11	0	0	27.462547288776797	728.511991862957	PDGFRA;PIK3CA;CDKN2A;PTEN;E2F1;AKT1;BAX;HRAS;TP53;EGFR;FGFR1
HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	16/219	3.5507674071954114E-12	3.314049580049051E-11	0	0	12.393931034482758	326.7518299817988	VAC14;SMAD4;MAP3K1;CDKN2A;PTEN;FOS;PIK3CA;IL2RA;CDK2;E2F1;AKT1;BAX;ATM;TP53;HRAS;MAD1L1
MOTOR PROTEINS	15/190	5.713108854100846E-12	5.118945533274358E-11	0	0	13.39047619047619	346.6560994509893	TUBB;TUBB4B;TUBB4A;TUBA4A;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;TUBB3
PANCREATIC CANCER	11/77	6.4689963246476335E-12	5.573289141234884E-11	0	0	25.375641025641027	653.7780191152233	SMAD4;PIK3CA;CDKN2A;ERBB2;E2F1;AKT1;BAX;BRCA2;TP53;EGFR;VEGFA
KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION	15/195	8.31092701225211E-12	6.894991299053602E-11	0	0	13.015211640211641	332.0629508943458	CXCL8;SYK;SRC;FOS;PIK3CG;VEGFA;PIK3CA;FASN;CASP3;E2F1;AKT1;BAX;JAK2;TP53;HRAS
HEPATOCELLULAR CARCINOMA	14/166	1.2298550948476877E-11	9.838840758781502E-11	0	0	14.292271031910484	359.04385369620144	SMAD4;GSTM1;CDKN2A;GSTP1;IGF2;PTEN;GSTT1;EGFR;PIK3CA;E2F1;AKT1;BAX;TP53;HRAS
COLORECTAL CANCER	11/86	2.2445087733794266E-11	1.7336895352999708E-10	0	0	22.320410256410256	547.295328620639	SMAD4;PIK3CA;CASP3;BCL2;AKT1;BIRC5;BAX;FOS;HRAS;TP53;EGFR
MAPK SIGNALING PATHWAY	17/296	3.375448107383759E-11	2.498901667538842E-10	0	0	9.62134350791999	231.98894887268128	PDGFRA;MAP3K1;BDNF;IGF2;FOS;EGFR;VEGFA;ERBB3;DDIT3;FASN;CASP3;STMN1;ERBB2;AKT1;TP53;HRAS;FGFR1
GASTRIC CANCER	13/146	3.458301414897505E-11	2.498901667538842E-10	0	0	15.063322368421053	362.8401647086867	SMAD4;ABCB1;EGFR;RXRA;PIK3CA;CDK2;ERBB2;BCL2;E2F1;AKT1;BAX;TP53;HRAS
CHEMICAL CARCINOGENESIS - REACTIVE OXYGEN SPECIES	15/222	5.302388832012584E-11	3.711672182408809E-10	0	0	11.30204738900391	267.4095897583693	GSTM1;SRC;EPHX1;PTEN;AKR1C3;GSTT1;FOS;SOD2;EGFR;VEGFA;PIK3CA;CYP1A1;CYP1B1;AKT1;HRAS
HUMAN CYTOMEGALOVIRUS INFECTION	15/223	5.651027166516659E-11	3.8358487433325203E-10	0	0	11.24713827838828	265.39420842135866	PDGFRA;CXCL8;SRC;CDKN2A;EGFR;VEGFA;PIK3CA;FASN;CASP3;EIF4EBP1;E2F1;AKT1;BAX;TP53;HRAS
NON-SMALL CELL LUNG CANCER	10/71	7.031511136099436E-11	4.6325249837831577E-10	0	0	24.77537229383056	579.1995053829552	RXRA;PIK3CA;CDKN2A;ERBB2;E2F1;AKT1;BAX;HRAS;TP53;EGFR
AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS	11/100	1.1950741344390729E-10	7.461850233630922E-10	0	0	18.796024200518584	429.4448452886864	SMAD4;CXCL8;PIK3CA;CASP3;MMP2;BCL2;AKT1;BAX;JAK2;HRAS;VEGFA
P53 SIGNALING PATHWAY	10/75	1.2325377618051076E-10	7.461850233630922E-10	0	0	23.24603640634175	530.3995977861	CDKN2A;CASP3;FASN;CDK2;PTEN;BCL2;BAX;MDM4;ATM;TP53
GLIOMA	10/75	1.2325377618051076E-10	7.461850233630922E-10	0	0	23.24603640634175	530.3995977861	PDGFRA;PIK3CA;CDKN2A;PTEN;E2F1;AKT1;BAX;HRAS;TP53;EGFR
ESTROGEN SIGNALING PATHWAY	12/135	2.0712077070517064E-10	1.2209224378410057E-9	0	0	14.926072981660049	332.81738200569305	PIK3CA;SRC;MMP2;BCL2;AKT1;PGR;FOS;OPRM1;ESR1;HRAS;ESR2;EGFR
BILE SECRETION	10/88	6.210184046460371E-10	3.5668749395054442E-9	0	0	19.358974358974358	410.40368205074145	ABCC3;SLCO1B1;ABCC2;ABCB1;RXRA;SLC10A2;SLCO1B3;EPHX1;CYP3A4;ABCG2
SMALL CELL LUNG CANCER	10/92	9.686768815200118E-10	5.424590536512066E-9	0	0	18.410910444982314	382.12010354831745	RXRA;PIK3CA;CASP3;CDK2;PTEN;E2F1;BCL2;AKT1;BAX;TP53
FOLATE TRANSPORT AND METABOLISM	7/29	1.0213258422588986E-9	5.579926552829105E-9	0	0	47.1027815468114	975.1295182528806	ABCC3;SLCO1B1;ABCC1;ABCC2;FOLH1;SLCO1B3;ABCG2
